x,y,label,affiliation,num_tweets
-0.146072159,151.5583513,adampolsen,BC Green Party,6923
87.62759888,15.51410764,adriandix,BC NDP,3492
-68.35358416,-53.00217509,AGreen4BCGreens,BC Green Party,2670
-38.78028218,-88.41472748,AJWVictoriaBC,BC Green Party,8735
-109.0775337,-21.29901712,akonkin,BC Green Party,1388
76.00956794,86.8549399,alanadelong,BC Liberal Party,1074
-68.03309813,-38.67905667,alekmuniak,BC Green Party,891
-126.4535963,-20.78633443,alexdutton2017,BC Liberal Party,554
69.11035605,136.4046771,alexjoehl,Libertarian,1201
-28.19557752,140.9552988,amansinghbcndp,BC NDP,227
-22.88883491,5.874734978,amrikvirkbc,BC Liberal Party,2082
0.882615172,-72.3697864,andrewpmclean,Libertarian,1829
71.47080249,-23.60115736,AnneKangNDP,BC NDP,583
46.64928222,-40.072956,annemariesamndp,BC NDP,14
-80.82248191,-55.3957523,b_radley,BC Green Party,7701
22.63729522,19.56179787,barbdesjardins,BC Liberal Party,4922
-48.56614244,-74.42920252,bbidgood,BC NDP,384
-86.84992096,-29.05682858,bcgreenklc,BC Green Party,755
-12.27989709,118.6515689,bcliberals ,BC Liberal Party,13674
-103.1736461,-122.3132981,bcndp,BC NDP,5474
38.61221047,39.2109538,bcndpstephanie,BC NDP,3157
14.13804901,9.041464544,bnederpel,BC NDP,6422
-103.503253,167.5247176,bobbydeepak1,BC NDP,2299
42.57623556,-20.96469529,bobdeithmrm,BC NDP,842
-11.88625511,-55.00124332,bogberry,BC Green Party,1261
70.09890646,25.50635444,bowinnma,BC NDP,866
-42.45047965,-14.31675349,brendalockebc,BC Liberal Party,630
-362.4974484,62.09343733,brendanralfsgp,BC Green Party,100
4.029818743,-147.705008,brettemullins,Your Political Party of BC (YPP),577
-9.128938739,-70.65638478,brianformla,Independent,550
16.55156135,-63.91041085,bruceralston,BC NDP,362
159.2869789,164.0293288,bryce_casavant,BC NDP,1116
22.2206245,225.1218095,carolejames,BC NDP,1713
11.48212132,71.61820408,cathynoelbc,BC Liberal Party,231
53.86925949,78.76486122,chaddockcostelo,BC NDP,15887
-85.14868269,23.810774,charlesworthka,BC Green Party,324
3.297029918,-95.53746369,chimasargy,BC Liberal Party,8
14.80881617,-13.36336412,chpcanadaleader,Christian Heritage Party of B.C.,1714
-19.39681215,85.10918622,christyclarkbc,BC Liberal Party,5314
110.5471632,7.740231373,clairetrevena,BC NDP,1788
-127.6310192,-38.75881272,clovechok,BC Liberal Party,3665
-43.17957253,37.67719659,colemancountry,BC Liberal Party,1798
-56.38176044,-45.260513,ConnieSahlmark,BC Green Party,236
39.37414514,-60.64282078,connylin4bc,BC Liberal Party,195
-53.0568483,68.65597694,coraleeoakes,BC Liberal Party,4030
57.57007529,-129.4611886,criticalanimal,Independent,217
60.558824,-62.69716802,crostyca,BC Social Credit Party,8301
88.80359638,-34.57532864,dallas4bc,BC Liberal Party,446
-29.20318845,102.6372922,daniel_davies,BC Liberal Party,2329
-63.81370811,-0.945518161,danjhines,BC Green Party,1170
-165.1448472,-258.8380749,DarcyJudy,BC NDP,4663
-134.1987435,321.0837119,DarrylPlecas,BC Liberal Party,12614
14.07020381,-80.6668734,Dave_Eby,BC NDP,8287
-45.95440802,-2.376788551,davidhtwong,BC Green Party,3656
109.4958472,108.2432708,dccalder,BC Liberal Party,994
33.74709246,183.5534674,doajoe,BC Green Party,1061
88.52248465,26.83869469,DonaldsonDoug,BC NDP,1045
54.02619793,-29.26671704,donbarthel,BC Green Party,442
30.97529462,9.053078133,dongpanbc,Independent,8
42.05872071,3.71709929,donnabarnett_bc,BC Liberal Party,339
-37.64974842,-67.30955591,donovancavers,BC Green Party,9606
-1.901134369,43.21384657,douglasbing,BC Liberal Party,7644
-23.38506936,-63.66946194,eastvanchan,BC Liberal Party,1355
45.13265852,15.02375758,ekcalder,BC Green Party,372
133.2293468,82.44354881,ellisbross,BC Liberal Party,139
-67.16716431,35.25495914,ericfoster_bc,BC Liberal Party,264
59.51816039,-44.45083398,erikbc2017,BC NDP,152
-50.69320414,-31.69638611,f1computer,BC Green Party,680
-39.33864586,-52.71348103,fabiolaypp,Your Political Party of BC (YPP),1
-51.17645096,28.71334953,Fassbender_BC,BC Liberal Party,2597
-32.31751797,-22.04269743,gabegarf,BC Liberal Party,3583
-34.46722236,-109.9977721,garbageguru1,Independent,453
78.93465845,-102.2167007,garrisondukebc,BC Liberal Party,977
100.4104261,-10.50940822,garrybeggndp,BC NDP,570
25.8418205,31.45967315,GeorgeHeyman,BC NDP,2473
-80.32115707,-38.88217876,giesbrechtrita,BC Green Party,741
-83.77414547,-8.237358588,glennsollitt,BC Green Party,591
-8.359041467,99.10081129,gsparihar2017,BC Liberal Party,458
59.84531372,16.98255249,HarryBainsSN,BC NDP,1825
-2.375664079,-44.42392371,henshallbc,BC Social Credit Party,972
66.18342527,105.8450624,herbpondBC,BC Liberal Party,73
131.5768134,-10.85658555,HolmanGary,BC NDP,5382
31.40583763,94.01484351,houssersteve,BC Liberal Party,529
36.80317532,-82.0468336,ian_s_morrison,Independent,10
-13.84352865,-15.53653872,iandsoutar,BC Green Party,22
17.70107483,-192.2894223,ianpatondelta,BC Liberal Party,1057
70.09965343,50.87732069,islandsalishsea,BC Green Party,75
