x,y,label,affiliation,num_tweets
0.262729346,-0.401536342,adampolsen,BC Green Party,3182
-0.290310469,-0.091454922,adriandix,BC NDP,3221
0.309856993,-0.212201723,AGreen4BCGreens,BC Green Party,2646
0.211913522,-0.433185039,AJWVictoriaBC,BC Green Party,3193
0.319597254,0.111198582,akonkin,BC Green Party,1365
0.02856414,0.321248475,alanadelong,BC Liberal Party,1055
0.201756185,-0.351680928,alekmuniak,BC Green Party,835
-0.048950664,0.24639881,alexdutton2017,BC Liberal Party,482
0.328781425,0.087792408,alexjoehl,Libertarian,1156
-0.105247276,-0.305618771,amansinghbcndp,BC NDP,226
-0.122633785,0.40288111,amrikvirkbc,BC Liberal Party,2055
0.227952697,-0.160540303,andrewpmclean,Libertarian,1778
-0.306615021,-0.112648214,AnneKangNDP,BC NDP,555
-0.211571806,0.058324082,annemariesamndp,BC NDP,14
0.299344748,-0.195257631,b_radley,BC Green Party,2962
0.053344521,0.310095178,barbdesjardins,BC Liberal Party,3173
0.113503147,0.132268821,bbidgood,BC NDP,384
0.211651772,-0.363481457,bcgreenklc,BC Green Party,667
-0.338919707,0.246069232,bcliberals ,BC Liberal Party,3179
-0.34421984,-0.284130486,bcndp,BC NDP,2769
-0.127850817,-0.141388156,bcndpstephanie,BC NDP,3157
-0.2651241,-0.221355589,bnederpel,BC NDP,62
-0.090120496,-0.267547148,bobbydeepak1,BC NDP,3173
-0.062777266,-0.205342134,bobdeithmrm,BC NDP,2280
0.305538608,-0.113845061,bogberry,BC Green Party,833
-0.213552048,-0.176969447,bowinnma,BC NDP,1246
0.139612921,0.211424864,brendalockebc,BC Liberal Party,835
0.13739853,-0.03588302,brendanralfsgp,BC Green Party,611
0.100837247,-0.287879324,brettemullins,Your Political Party of BC (YPP),93
0.138777504,-0.265181687,brianformla,Independent,550
-0.235530909,0.055252198,bruceralston,BC NDP,1985
-0.244749014,-0.206705702,bryce_casavant,BC NDP,358
-0.417458439,-0.113115251,carolejames,BC NDP,1105
-0.07296953,0.217100125,cathynoelbc,BC Liberal Party,1682
-0.115326856,-0.358067883,chaddockcostelo,BC NDP,219
0.243890394,-0.354706708,charlesworthka,BC Green Party,3131
0.12170231,-0.021780129,chimasargy,BC Liberal Party,296
0.379957666,-0.011921893,chpcanadaleader,Christian Heritage Party of B.C.,4
-0.205240832,0.262311192,christyclarkbc,BC Liberal Party,1697
-0.230817883,-0.165383731,clairetrevena,BC NDP,3200
-0.144479579,0.308986691,clovechok,BC Liberal Party,1767
-0.017528055,0.406906953,colemancountry,BC Liberal Party,3191
0.184834732,-0.360485972,ConnieSahlmark,BC Green Party,1788
-0.085374211,0.199839304,connylin4bc,BC Liberal Party,218
-0.128899703,0.397896439,coraleeoakes,BC Liberal Party,171
0.139382382,0.003133405,criticalanimal,Independent,3215
0.260207398,0.118122876,crostyca,BC Social Credit Party,212
-0.038650769,0.257312738,dallas4bc,BC Liberal Party,3179
0.057906927,0.352293765,daniel_davies,BC Liberal Party,415
0.648263189,-0.519703103,danjhines,BC Green Party,2302
-0.313742764,-0.108914412,DarcyJudy,BC NDP,526482
-0.022407659,0.371145885,DarrylPlecas,BC Liberal Party,3201
0.017877108,-0.262449557,Dave_Eby,BC NDP,3137
0.337707603,-0.235766062,davidhtwong,BC Green Party,3205
0.233836625,0.310256842,dccalder,BC Liberal Party,3158
0.342009948,0.05718221,doajoe,BC Green Party,962
-0.32847161,-0.139790864,DonaldsonDoug,BC NDP,1055
0.305625269,0.000862073,donbarthel,BC Green Party,1026
0.09899721,0.091030978,dongpanbc,Independent,424
-0.097025409,0.165775715,donnabarnett_bc,BC Liberal Party,7
0.302062674,-0.258123558,donovancavers,BC Green Party,191
-0.157493209,0.251899841,douglasbing,BC Liberal Party,3126
-0.074056262,0.392368924,eastvanchan,BC Liberal Party,3172
0.198509109,-0.119774264,ekcalder,BC Green Party,1310
-0.126013486,0.200439581,ellisbross,BC Liberal Party,348
-0.182801679,0.423290523,ericfoster_bc,BC Liberal Party,134
-0.078603835,-0.059359665,erikbc2017,BC NDP,190
0.323490322,-0.235425778,f1computer,BC Green Party,137
0.629883728,0.072709129,fabiolaypp,Your Political Party of BC (YPP),656
-0.133144427,0.415682383,Fassbender_BC,BC Liberal Party,1
0.146925542,0.249414301,gabegarf,BC Liberal Party,2581
0.314468419,0.013838368,garbageguru1,Independent,3177
0.106893699,0.247168752,garrisondukebc,BC Liberal Party,453
-0.261553556,-0.244544262,garrybeggndp,BC NDP,905
-0.387988738,-0.245840695,GeorgeHeyman,BC NDP,556
0.262421983,-0.340331484,giesbrechtrita,BC Green Party,2459
0.350207691,-0.055444736,glennsollitt,BC Green Party,718
0.095999376,0.238551516,gsparihar2017,BC Liberal Party,581
-0.367394468,-0.190122379,HarryBainsSN,BC NDP,455
0.252231341,-0.039557868,henshallbc,BC Social Credit Party,1810
-0.082729319,0.164101347,herbpondBC,BC Liberal Party,952
-0.27789239,-0.287741727,HolmanGary,BC NDP,70
-0.026597533,0.238918165,houssersteve,BC Liberal Party,3208
-0.017011133,0.008951514,ian_s_morrison,Independent,510
0.055879091,-0.020899679,iandsoutar,BC Green Party,10
-0.107252425,0.325672169,ianpatondelta,BC Liberal Party,20
0.136757928,-0.155280224,islandsalishsea,BC Green Party,1037
0.262704126,-0.221008077,jacquieemiller,BC Green Party,66
-0.303027517,-0.239339076,jagrupbrar1,BC NDP,2515
0.219831475,-0.321845614,jamesbcgreens,BC Green Party,1288
