user,affiliation,num_tweets
adampolsen,BC Green Party,6923
adriandix,BC NDP,3492
AGreen4BCGreens,BC Green Party,2670
AJWVictoriaBC,BC Green Party,8735
akonkin,BC Green Party,1388
alanadelong,BC Liberal Party,1074
alekmuniak,BC Green Party,891
alexdutton2017,BC Liberal Party,554
alexjoehl,Libertarian,1201
amansinghbcndp,BC NDP,227
amrikvirkbc,BC Liberal Party,2082
andrewpmclean,Libertarian,1829
AnneKangNDP,BC NDP,583
annemariesamndp,BC NDP,14
b_radley,BC Green Party,7701
barbdesjardins,BC Liberal Party,4922
bbidgood,BC NDP,384
bcgreenklc,BC Green Party,755
bcliberals ,BC Liberal Party,13674
bcndp,BC NDP,5474
bcndpstephanie,BC NDP,3157
bnederpel,BC NDP,6422
bobbydeepak1,BC NDP,2299
bobdeithmrm,BC NDP,842
bogberry,BC Green Party,1261
bowinnma,BC NDP,866
brendalockebc,BC Liberal Party,630
brendanralfsgp,BC Green Party,100
brettemullins,Your Political Party of BC (YPP),577
brianformla,Independent,550
bruceralston,BC NDP,362
bryce_casavant,BC NDP,1116
carolejames,BC NDP,1713
cathynoelbc,BC Liberal Party,231
chaddockcostelo,BC NDP,15887
charlesworthka,BC Green Party,324
chimasargy,BC Liberal Party,8
chpcanadaleader,Christian Heritage Party of B.C.,1714
christyclarkbc,BC Liberal Party,5314
clairetrevena,BC NDP,1788
clovechok,BC Liberal Party,3665
colemancountry,BC Liberal Party,1798
ConnieSahlmark,BC Green Party,236
connylin4bc,BC Liberal Party,195
coraleeoakes,BC Liberal Party,4030
criticalanimal,Independent,217
crostyca,BC Social Credit Party,8301
dallas4bc,BC Liberal Party,446
daniel_davies,BC Liberal Party,2329
danjhines,BC Green Party,1170
DarcyJudy,BC NDP,4663
DarrylPlecas,BC Liberal Party,12614
Dave_Eby,BC NDP,8287
davidhtwong,BC Green Party,3656
dccalder,BC Liberal Party,994
doajoe,BC Green Party,1061
DonaldsonDoug,BC NDP,1045
donbarthel,BC Green Party,442
dongpanbc,Independent,8
donnabarnett_bc,BC Liberal Party,339
donovancavers,BC Green Party,9606
douglasbing,BC Liberal Party,7644
eastvanchan,BC Liberal Party,1355
ekcalder,BC Green Party,372
ellisbross,BC Liberal Party,139
ericfoster_bc,BC Liberal Party,264
erikbc2017,BC NDP,152
f1computer,BC Green Party,680
fabiolaypp,Your Political Party of BC (YPP),1
Fassbender_BC,BC Liberal Party,2597
gabegarf,BC Liberal Party,3583
garbageguru1,Independent,453
garrisondukebc,BC Liberal Party,977
garrybeggndp,BC NDP,570
GeorgeHeyman,BC NDP,2473
giesbrechtrita,BC Green Party,741
glennsollitt,BC Green Party,591
gsparihar2017,BC Liberal Party,458
HarryBainsSN,BC NDP,1825
henshallbc,BC Social Credit Party,972
herbpondBC,BC Liberal Party,73
HolmanGary,BC NDP,5382
houssersteve,BC Liberal Party,529
ian_s_morrison,Independent,10
iandsoutar,BC Green Party,22
ianpatondelta,BC Liberal Party,1057
islandsalishsea,BC Green Party,75
jacquieemiller,BC Green Party,2595
jagrupbrar1,BC NDP,1317
jamesbcgreens,BC Green Party,331
jameslombardibc,BC Liberal Party,472
jameswangbcndp,BC NDP,214
janespitzbc,BC Liberal Party,301
janetburnabyndp,BC NDP,1712
janetrfraser,BC Green Party,2563
jasjohalbc,BC Liberal Party,3225
jasonhanley,BC Green Party,2255
jbarrett1998,Libertarian,354
jbtwickens,BC NDP,2411
JDFlibertarian,Libertarian,2372
JenniferRice6,BC NDP,1192
jerrykroll,BC Green Party,814
JFilippelliYPP,Your Political Party of BC (YPP),454
jinnysims,BC NDP,15978
jjhorgan,BC NDP,3536
joan_isaacs,BC Liberal Party,506
jodim4bcgreens,BC Green Party,313
joeydoyleypp,Your Political Party of BC (YPP),130
John_Yap,BC Liberal Party,15609
JohnMartin4BC,BC Liberal Party,5773
joninacampbell,BC Green Party,3817
jonrempel2,Libertarian,35
jordansturdy,BC Liberal Party,656
josh_steffler,Libertarian,203
joshasjohnson,BC Green Party,118
jthornthwaite,BC Liberal Party,16216
kahlonrav,BC NDP,8979
karenfbill,BC Liberal Party,946
karenxbwang,BC Liberal Party,102
katrinacburnaby,BC NDP,2833
KatrineConroy,BC NDP,1652
kayhale17,BC Conservative Party,1
keliwestgate,BC Green Party,7939
kelly_bc_ca,BC NDP,1301
kim4mla,BC Green Party,612
lanapopham,BC NDP,5063
larrycolero,BC Green Party,777
leondaviddunn1,Independent,19
libertykkomar,Libertarian,87
lindalarsonbc,BC Liberal Party,315
lindareidforbc,BC Liberal Party,143
LindaReimer4BC,BC Liberal Party,2521
lisabeare,BC NDP,461
lisabeare,BC Green Party,461
LoriIanni,BC NDP,805
lorraineabrett,BC Liberal Party,567
mableelmore,BC NDP,3413
madilalonde,BC NDP,257
mapleridgealex,BC Green Party,13237
MarcDalton,BC Liberal Party,4048
markvneufeld,BC Green Party,502
martayformla,Independent,179
marvinhunt4bc,BC Liberal Party,1492
maryforbc,BC Liberal Party,6387
melaniejmark,BC NDP,1786
michaelleebc,BC Liberal Party,80
michellelivaja,BC NDP,400
michellemungall,BC NDP,5106
Mike_A_Bernier,BC Liberal Party,7337
Mike_de_Jong,BC Liberal Party,1665
mikefarnworthbc,BC NDP,3006
MikeMorrisforBC,BC Liberal Party,982
mitzideanbc,BC NDP,1010
MLADanAshton,BC Liberal Party,173
morganeogerndp,BC NDP,16301
mrnicholaswong,Independent,574
nancybepple,BC NDP,19365
naomiyamamoto,BC Liberal Party,18686
natalie4pgvale,BC NDP,29
NicholasSimons,BC NDP,4963
nicspurling,BC Green Party,2511
nigelgelliott,BC Liberal Party,166
niovi_ndp,BC NDP,373
NormLetnick,BC Liberal Party,4922
parisgaudet,BC Liberal Party,534
patti_macahonic,BC NDP,1419
pclceo,Independent,165
PeterMilobar,BC Liberal Party,1394
petertamgogreen,BC Green Party,375
pnnjenga,Independent,188
PreetRaiBC,BC NDP,67
puneetsandhar,BC Liberal Party,291
racha7426,BC NDP,16
rajchouhan,BC NDP,2069
ralph_sultan,BC Liberal Party,2034
randalmacnair,BC NDP,293
rebeccasmithndp,BC NDP,1934
rexbrocki,Libertarian,64
Richard_T_Lee,BC Liberal Party,5169
richardejaques,BC Green Party,1020
rick_mcgowan,BC Green Party,5113
rickglumacbc,BC NDP,879
Rob_Fleming,BC NDP,2049
ronnaraeleonard,BC NDP,389
russelmehdi,BC NDP,40
sam_sullivan,BC Liberal Party,807
samsonboyer1,BC Green Party,41
SChandraHerbert,BC NDP,10622
Scott4Delta,BC Liberal Party,1432
scottfraserndp,BC NDP,12
scotty_quesnel,BC NDP,1851
selinarobinson,BC NDP,21744
ShaneLSimpson,BC NDP,1859
shelleycook4ndp,BC NDP,83
shirleybond,BC Liberal Party,11389
silveirandp,BC NDP,276
simon_rear,BC Green Party,725
soniafurstenau,BC Green Party,4404
srobertsbc,BC Liberal Party,645
staceypierceybc,BC Liberal Party,199
Stephanie4BC,BC Liberal Party,12210
Steve4Kelowna,BC Liberal Party,2634
stevedarling,BC Liberal Party,9247
stevekimbc,BC Liberal Party,2420
Stilwell4BC,BC Liberal Party,9099
suemoen,BC Green Party,873
suepowellndp,BC NDP,133
SusanChambersBC,BC Liberal Party,60
SuzanneAnton,BC Liberal Party,5341
sylvialindgren,BC NDP,124
taftgerry,BC NDP,220
tariksayeed,BC NDP,180
tegart_jackie,BC Liberal Party,2806
Teresa_Wat,BC Liberal Party,2998
toddstonebc,BC Liberal Party,4888
TomShypitka,BC Liberal Party,10
tracyrediesbc,BC Liberal Party,288
trangnguyenbc,BC Liberal Party,159
twiggjohn,BC First,9365
vanisledevelop,Independent,3989
vikramjsbajwa,,2481
votegeorgechow,BC NDP,26
votekalenharris,BC Green Party,1731
votemichael,BC Green Party,954
WayneFroese,BC Green Party,17
Wilkinson4BC,BC Liberal Party,1296
